college_id,admission_id,gpa,sat,act,matric,university_id,hook_athlete,hook_first_gen,hook_legacy
64,10650,10.21,1470,35,Yale University,130794,FALSE,FALSE,FALSE
65,16595,10.21,1270,,University of Pennsylvania,215062,FALSE,FALSE,TRUE
66,16598,10.21,1380,26,Wake Forest University,199847,FALSE,FALSE,FALSE
67,13430,10.2,1510,31,Dartmouth College,182670,TRUE,FALSE,FALSE
68,10370,10.19,1170,,Colgate University,190099,TRUE,FALSE,FALSE
69,10372,10.18,,35,Wake Forest University,199847,FALSE,FALSE,FALSE
70,10652,10.17,,32,Dartmouth College,182670,FALSE,FALSE,FALSE
71,235289,10.17,,34,Case Western Reserve University,201645,FALSE,FALSE,FALSE
72,10367,10.16,,30,Johns Hopkins University,162928,FALSE,FALSE,FALSE
73,12789,10.14,1520,30,Georgetown University,131496,FALSE,FALSE,FALSE
74,15091,10.14,1450,,Harvard University,166027,FALSE,FALSE,FALSE
75,231414,10.14,1490,34,University of Pennsylvania,215062,FALSE,FALSE,FALSE
76,10090,10.13,1380,28,Georgetown University,131496,FALSE,FALSE,FALSE
77,17477,10.13,,,Williams College,168342,TRUE,FALSE,FALSE
78,10799,10.1,,32,Colby College,161086,FALSE,FALSE,FALSE
79,17471,10.1,1410,,Columbia University in the City of New York,190150,FALSE,FALSE,FALSE
80,10474,10.06,1110,25,Connecticut College,128902,FALSE,FALSE,FALSE
81,13234,10.06,,32,Tufts University,168148,FALSE,FALSE,FALSE
82,10423,10.05,1200,,Trinity College,130590,FALSE,FALSE,FALSE
83,12528,10.05,,31,Yale University,130794,FALSE,FALSE,FALSE
84,17413,10.03,1530,,,,,,
85,15013,10.02,1530,,George Washington University,131469,FALSE,FALSE,FALSE
86,17416,10.01,1240,,University of Richmond,233374,FALSE,FALSE,FALSE
87,10498,10,1440,30,Bates College,160977,FALSE,FALSE,FALSE
88,231374,10,1260,,Union College,196866,FALSE,FALSE,TRUE
89,10320,9.97,1240,30,Wellesley College,168218,FALSE,FALSE,TRUE
90,10046,9.95,1520,,Syracuse University,196413,FALSE,FALSE,FALSE
91,20354,9.95,1380,,University of Virginia-Main Campus,234076,FALSE,FALSE,FALSE
92,10374,9.93,,33,Northeastern University,167358,TRUE,FALSE,FALSE
93,10803,9.92,1130,,Harvard University,166027,TRUE,FALSE,FALSE
94,13301,9.9,1340,,University of Michigan-Ann Arbor,170976,FALSE,FALSE,FALSE
95,13431,9.9,1010,20,University of Chicago,144050,FALSE,FALSE,FALSE
96,15012,9.9,1450,,Davidson College,198385,TRUE,FALSE,FALSE
97,19311,9.9,1490,,Brown University,217156,TRUE,FALSE,FALSE
98,10368,9.89,,32,Massachusetts Institute of Technology,166683,FALSE,FALSE,FALSE
99,17476,9.87,1430,,Providence College,217402,TRUE,FALSE,FALSE
100,20360,9.87,,27,Tufts University,168148,FALSE,TRUE,FALSE
101,10431,9.85,1440,27,Connecticut College,128902,FALSE,FALSE,FALSE
102,20361,9.84,1360,,Harvey Mudd College,115409,FALSE,FALSE,FALSE
103,15850,9.82,,21,Harvard University,166027,FALSE,FALSE,FALSE
104,89558,9.82,1340,26,Carnegie Mellon University,211440,FALSE,FALSE,FALSE
105,10477,9.8,,34,Brown University,217156,FALSE,FALSE,FALSE
106,17470,9.8,1440,,Barnard College,189097,FALSE,FALSE,FALSE
107,17507,9.8,,25,Clemson University,217882,FALSE,FALSE,FALSE
108,13420,9.78,1470,,Colgate University,190099,FALSE,FALSE,FALSE
109,20362,9.77,1190,,Princeton University,186131,TRUE,FALSE,FALSE
