student_id,college_id,admission_id
4895,229,10502
4896,230,10535
4898,231,230382
4921,232,230855
4933,233,10379
4934,234,10384
4940,235,10305
4953,236,10441
4964,237,10448
4969,238,10349
5007,239,10388
5051,240,17474
5064,241,90596
5078,242,10550
5087,243,10363
5137,244,10038
5143,245,10310
5161,246,10214
5169,247,10654
5178,248,17475
5179,249,10220
5181,250,10257
5186,251,91377
5197,252,10089
5198,253,10709
5210,254,10042
5217,255,10819
5233,256,10500
5253,257,10271
5277,258,10308
5305,259,89093
5332,260,10394
5337,261,10666
5352,262,10540
5376,263,10166
5384,264,231415
5391,265,235281
5419,266,10548
5433,267,20364
5444,268,10822
5475,269,10018
5480,270,10290
5481,271,16591
5483,272,237761
5492,273,16655
5511,274,10252
5517,275,10483
5528,276,10256
5529,277,10066
5571,278,10255
5603,279,10136
5620,280,10061
5653,281,10302
5654,282,10199
5667,283,15912
5671,284,10209
5696,285,10316
5715,286,10164
5731,287,10254
5742,288,10027
5743,289,10182
5762,290,10424
5783,291,10768
5792,292,10805
5813,293,10342
5827,294,10695
5884,295,10114
5889,296,10754
5892,297,10298
5904,298,10337
5908,299,10530
5923,300,10753
5944,301,10044
5957,302,10482
5962,303,10346
5984,304,10115
5988,305,10181
5990,306,10291
6009,307,10751
6030,308,10159
6065,309,10292
6094,310,10425
6106,311,10481
6111,312,10807
6123,313,10527
6124,314,18873
6131,315,10647
6139,316,10756
6140,317,10111
6159,318,10375
6186,319,21716
6200,320,10531
6207,321,10651
6274,322,10533
6288,323,10045
6335,324,10693
6337,325,10344
6340,326,10428
6347,327,10296
6354,328,10487
6360,329,10698
6367,330,10073
6368,331,10536
6373,332,10485
6374,333,17417
6389,334,10113
6400,335,10475
6416,336,10208
6425,337,10071
6432,338,10161
6435,339,10063
6439,340,10426
6444,341,10433
6454,342,10065
6467,343,10118
6485,344,10152
6496,345,10293
6504,346,10748
6515,347,10108
6543,348,10196
6556,349,10201
6560,350,10092
6567,351,10249
6580,352,10473
6590,353,10224
6645,354,10022
6665,355,10043
6683,356,10427
6689,357,10389
6700,358,10070
6714,359,10301
6719,360,10749
6728,361,10248
6736,362,10750
6760,363,10771
6786,364,10197
6800,365,10747
6820,366,10251
