admission_id,grad_year,gender,ethnicity,entry_grade,FA_status,incoming_testing,incoming_gpa,boarding,faculty_child,legacy_child,sending_ms_id
10223,2019,M,European American (Caucasian),9,0,4,9.67,FALSE,FALSE,TRUE,302
10315,2019,F,European American (Caucasian),9,0,4,10.44,FALSE,FALSE,FALSE,200
10314,2019,F,European American (Caucasian),9,0,4,9.28,FALSE,FALSE,FALSE,305
10285,2019,F,European American (Caucasian),7,0,4,9.73,FALSE,FALSE,FALSE,203
10221,2019,M,European American (Caucasian),9,0,4,9.38,FALSE,FALSE,FALSE,305
10313,2019,F,European American (Caucasian),9,0,4,10.44,FALSE,FALSE,TRUE,76
10275,2019,M,European American (Caucasian),10,0,4,10.15,FALSE,FALSE,FALSE,327
10190,2019,F,Asian American,7,0,4,10.67,FALSE,FALSE,FALSE,203
10246,2019,M,European American (Caucasian),7,1,4,9.84,FALSE,FALSE,TRUE,203
10353,2019,M,European American (Caucasian),9,0,4,10,FALSE,FALSE,FALSE,301
10359,2019,F,European American (Caucasian),9,0,4,10.34,FALSE,FALSE,FALSE,305
10129,2019,F,European American (Caucasian),9,0,4,10.69,FALSE,FALSE,FALSE,191
16651,2022,M,Asian American,9,0,5,10.9481,FALSE,FALSE,FALSE,107
10755,2022,M,African American,7,0,5,9.5263,FALSE,FALSE,FALSE,203
10321,2022,F,African American,7,2,5,10.4474,FALSE,FALSE,FALSE,203
15848,2022,F,Multiracial American,9,1,5,10.8272,FALSE,FALSE,FALSE,307
235289,2022,F,European American (Caucasian),10,1,5,9.9767,FALSE,FALSE,FALSE,163
17404,2022,F,Latino/Hispanic American,9,2,5,10.5181,FALSE,FALSE,FALSE,299
10661,2022,F,European American (Caucasian),8,1,5,9.2464,FALSE,FALSE,FALSE,203
10642,2022,F,Multiracial American,7,0,5,10.4533,FALSE,FALSE,FALSE,203
20360,2022,F,African American,9,1,5,10.2051,FALSE,FALSE,FALSE,86
10663,2022,M,European American (Caucasian),8,0,5,9.3947,FALSE,FALSE,FALSE,203
17416,2022,F,European American (Caucasian),9,0,5,10.775,FALSE,FALSE,FALSE,76
10537,2022,F,African American,7,1,5,10.9101,FALSE,FALSE,FALSE,203
20361,2022,F,European American (Caucasian),9,0,5,9.57,TRUE,FALSE,FALSE,136
12782,2022,F,Middle Eastern American,9,2,5,10.1282,FALSE,FALSE,FALSE,317
10372,2022,M,European American (Caucasian),7,0,5,10.4167,FALSE,FALSE,FALSE,203
17507,2022,F,European American (Caucasian),9,0,5,10.2667,FALSE,FALSE,TRUE,76
10228,2022,F,Multiracial American,7,0,5,9.85,FALSE,FALSE,FALSE,203
17476,2022,M,European American (Caucasian),9,0,5,9.9589,FALSE,FALSE,FALSE,302
10714,2022,M,European American (Caucasian),8,1,5,10.75,FALSE,FALSE,FALSE,203
17409,2022,F,Latino/Hispanic American,9,0,5,9.0556,FALSE,FALSE,FALSE,307
10474,2022,F,Middle Eastern American,7,0,5,10.1905,FALSE,FALSE,FALSE,203
